temperature,sound,accel_x,accel_y,accel_z
24.8932,0.4311,0.1174,7.1782,3.5028
25.8908,1.3343,2.8214,8.1526,1.4744
25.9946,2.6985,1.5125,11.1284,1.2945
25.7834,2.4164,-1.55,7.0733,4.7235
24.7237,2.2598,-0.47,11.9223,0.9982
24.8575,2.5508,-0.1151,12.023,3.7605
24.2158,1.1854,0.1163,12.7853,0.6898
25.4674,0.2564,2.9843,8.1535,3.2618
25.526,1.3888,2.5282,7.0626,0.7703
24.6919,2.9888,1.9522,7.6265,2.8147
24.3254,0.5917,1.4236,11.8628,2.4162
25.8082,2.5476,1.6749,7.4812,4.3021
24.5369,2.7432,-2.9207,12.3221,2.4438
24.7908,1.7607,-1.9469,7.3843,3.6376
24.9175,1.9501,-2.0297,12.0997,1.4125
25.5483,0.6629,-1.5103,12.3727,0.3412
25.7429,1.9627,-0.8909,7.9349,4.9834
25.144,2.7316,0.7274,9.2078,0.6085
25.7537,2.1842,-1.936,9.0143,3.3145
24.3816,0.1767,1.5607,12.0116,1.5086
25.5111,2.2616,-2.4451,7.2118,4.4652
25.1066,2.9642,2.7128,11.5238,2.3498
24.2888,0.4898,-2.854,12.3082,3.901
24.0133,2.6977,-0.6647,9.5126,2.0833
25.4539,1.5417,-2.9933,12.0375,1.2728
25.4261,2.4799,-0.8494,12.5147,2.6744
24.1967,0.9777,1.2778,8.232,4.1253
25.8812,0.8919,-2.1699,10.2522,2.6646
24.7922,0.5088,-0.3947,8.8805,3.8702
25.5564,2.8216,0.1834,12.2229,4.9212
24.9435,0.0532,1.3759,12.5305,2.0351
24.1126,0.8086,2.5691,9.2611,1.5408
24.6245,2.1222,-0.4596,10.3603,2.0951
24.0978,2.471,-0.4495,10.4564,2.9915
25.4005,1.174,-2.6688,8.8047,3.0654
24.7079,2.7727,0.5033,11.7614,3.162
24.0662,1.7683,1.4466,7.7078,2.2311
24.5583,1.5392,-1.6605,8.7211,1.9971
25.442,1.8088,1.695,9.3383,2.7537
24.3837,1.1832,2.2998,8.1788,1.1957
24.0407,1.3889,-2.8651,11.5009,0.2901
25.5268,2.0465,1.547,10.8417,3.7869
25.6375,1.9,-0.9961,7.7306,0.8128
25.3687,0.4383,1.964,8.6059,1.0377
25.7095,2.3814,0.1546,7.9467,3.2167
24.7654,1.1561,2.7786,10.1761,0.4649
25.9777,1.143,-2.7007,7.9364,1.4303
24.5613,2.4927,-0.4966,7.8962,2.5116
25.9589,1.5864,1.561,7.6223,3.9487
24.658,1.6208,-1.9616,8.5808,2.0564
24.9393,0.1137,0.8176,9.2703,3.8861
24.718,0.8439,-2.1929,10.5952,3.0112
24.2511,1.7865,-2.0875,7.9053,3.0258
24.3891,1.1708,0.8534,12.7773,1.0207
25.6497,1.7013,0.8002,9.5182,1.558
24.1202,0.8525,2.4942,9.247,1.1369
25.5228,2.9308,-2.9314,11.2843,4.1383
24.409,0.8259,1.5377,9.4957,4.2418
24.7682,0.9126,-2.2238,11.8423,1.9793
25.9243,2.5466,-0.3648,8.5775,3.211
25.9049,2.6039,0.8369,12.2161,0.142
25.3894,1.7825,2.271,7.6131,1.4297
25.9432,2.9437,0.5979,10.2435,0.9552
24.982,2.636,0.2168,8.8613,1.8244
25.4484,1.6466,-1.5509,11.4007,0.1408
24.3277,1.185,1.4952,8.83,3.4967
24.9003,2.9332,0.7876,12.4973,2.305
24.7713,0.7519,-1.3344,7.5413,2.3233
24.0709,0.3818,-1.8863,8.932,0.9588
24.3523,0.9678,2.6015,7.6222,2.9379
24.7435,0.6797,-1.706,7.0146,0.2223
25.5181,2.9704,1.751,9.5036,4.2796
24.1354,0.4444,1.1519,12.7437,1.7719
25.7271,2.5504,2.5328,7.5141,2.4601
24.6415,2.5139,-0.4073,7.8315,4.5929
24.2158,0.5772,0.2122,10.0926,1.8322
25.3603,0.4816,-0.5767,9.506,0.7329
25.6741,1.1154,-1.833,9.0786,0.2227
25.7279,0.13,1.5107,7.5199,4.4769
24.7536,0.2827,0.1815,9.9092,3.7899
25.3304,0.523,1.592,11.2482,3.3576
24.374,1.4366,-0.3035,10.3138,4.7868
25.7679,0.6941,-2.5213,11.1594,1.7353
24.938,0.4575,-1.5483,10.959,4.6036
25.7959,1.0115,2.5507,10.94,1.6778
25.0718,1.7779,0.1976,10.4317,3.2821
24.6412,0.0851,-0.6158,7.6547,0.6388
25.9706,0.7836,1.6607,10.3414,0.5005
24.4076,2.1395,2.8348,10.1628,1.0458
24.5867,2.8062,-0.9555,8.0958,3.0831
25.4046,0.0057,-2.8723,8.0861,3.1395
24.6579,2.7576,-2.1487,10.0342,4.7031
25.2153,0.8431,-0.1391,9.6385,3.0052
24.9419,1.0361,1.7073,12.2576,2.5189
25.9916,2.0137,-1.148,9.801,1.3386
24.4247,1.1721,-0.0004,8.3855,2.4461
25.1238,2.2361,0.8454,11.4788,4.0031
25.2632,0.7801,0.7628,9.2598,3.308
24.6947,0.0683,0.0901,7.152,3.3868
24.281,1.3705,-0.5909,8.0877,1.1784
25.3436,0.8596,2.0871,11.7066,3.1637
25.397,1.6313,-2.4795,9.6808,1.4415
25.8307,2.4281,2.4571,12.8264,1.4902
25.4462,0.6651,0.3719,10.1108,4.3453
25.6471,2.5819,1.5321,10.7062,4.0018
24.2075,0.2549,0.4491,9.217,0.5594
25.014,1.5154,-2.731,10.9236,1.435
25.3886,1.8325,-1.2484,10.664,3.5436
25.752,0.6947,-2.1998,7.8941,1.7445
24.546,0.4957,2.9191,10.6232,1.418
25.5638,0.1684,2.117,9.4399,1.3888
24.2148,0.7744,2.2085,9.6627,3.0911
25.9784,2.8954,-1.1494,7.2097,1.4425
25.7876,0.1318,2.5443,10.9271,0.453
24.5784,0.1091,1.7302,7.8374,4.2636
24.2997,1.028,-0.0345,10.3515,3.9344
25.7421,0.3725,-1.0096,8.9565,0.3858
25.0401,1.9199,-0.8966,9.9273,2.3912
25.081,2.1271,-0.4399,7.4332,0.7589
25.2998,0.4561,-0.6758,11.9416,4.6973
24.2414,1.4936,-1.2216,10.2438,0.6855
25.1432,0.6692,0.6405,11.6383,3.2938
25.2912,2.5122,1.451,11.6621,4.6222
25.8013,0.5414,2.3568,8.2656,0.0952
24.8182,2.4092,-1.9381,8.6046,4.1635
25.361,0.5141,-0.0368,7.9909,4.7343
25.5549,0.0915,-1.317,7.4707,4.1391
24.2431,0.3483,2.194,8.9345,0.1245
24.1257,0.3876,-0.5367,12.3332,1.9693
25.6255,2.5566,-0.6897,7.4086,1.6923
24.0044,2.2499,-0.3857,9.8298,1.4283
25.3922,0.7289,-2.556,8.8357,1.717
25.3567,1.5547,0.183,7.9125,2.5823
25.5164,2.5794,-2.3886,9.9357,3.4549
24.6305,2.8429,1.1984,11.348,3.5953
25.0796,1.5488,0.6301,9.4526,1.4868
24.0557,1.229,-2.4306,11.2555,0.3076
25.8768,1.7495,-2.3104,10.5873,3.1254
25.4124,1.9258,-2.6565,8.7224,1.6138
24.0361,1.4543,0.3222,7.0827,4.0412
25.5327,1.9825,-1.3882,9.4423,4.9657
25.2625,2.3772,1.4506,8.1707,4.9321
25.2748,2.2912,0.1997,9.5714,3.9414
24.7049,2.8794,1.977,7.6558,3.5608
25.1276,2.9412,-0.4122,12.3308,4.8251
24.2233,2.0639,-0.2968,10.4577,1.4058
25.8478,0.5024,-1.5327,12.3782,2.4272
25.3774,2.6163,0.1995,9.7227,2.5188
24.1243,2.774,2.1432,10.9023,4.0365
24.5012,1.0101,2.9895,11.3322,2.6028
24.2488,2.3055,-2.0615,7.8792,4.3998
24.034,2.8412,0.9458,8.2298,2.5671
25.1155,1.1111,-0.5195,11.64,2.2804
24.4719,1.7345,-0.8629,12.1259,0.8136
25.3131,0.198,1.5187,11.3465,0.4283
25.2805,0.81,0.4796,7.6812,3.7842
25.8944,0.4283,-0.8286,12.6005,1.1706
25.439,0.5289,0.7145,8.7178,3.5753
25.9845,2.686,-1.0683,7.4625,1.1043
25.0686,0.2825,-2.1723,7.5599,0.9218
24.9661,1.5773,-1.1391,8.8486,1.2534
25.563,2.3497,-0.4866,11.594,1.1089
25.2938,1.1627,-1.3458,8.1521,0.524
25.9589,2.657,-0.4657,9.091,2.7713
24.5431,1.8097,0.1572,11.2675,3.6029
24.6646,0.8509,-1.7646,8.7288,4.0922
25.8411,0.1106,1.6479,12.3515,2.3212
24.8604,1.3091,0.0929,10.0727,1.3488
24.1696,2.3325,-0.4178,8.2863,3.2979
24.5475,2.2345,0.9034,12.0211,4.4771
25.6295,1.9207,0.3072,7.7718,2.5851
25.7019,1.8503,-1.2368,11.9509,4.6776
24.2407,0.3434,2.1298,9.6502,2.6026
24.8805,1.7903,-1.2787,9.6194,3.8264
24.5332,2.4748,-1.095,10.9232,3.8152
24.2824,0.9327,1.8658,11.2839,1.4098
24.8466,1.437,-2.2701,9.4266,1.4079
25.0704,2.22,-0.0095,10.1763,2.5553
24.899,2.5683,0.7789,10.9066,0.4715
24.8301,0.2575,2.9992,8.4309,3.8693
25.3968,1.5865,-0.6967,7.906,2.5777
24.3261,1.9326,2.6388,10.9111,2.1765
25.215,2.8287,1.0138,8.9489,1.6678
24.2063,2.9055,-2.7958,8.241,1.4158
25.9333,2.1755,2.6936,8.3924,2.3097
25.6961,0.4752,2.9804,12.7541,1.4001
25.8272,0.8115,1.7325,7.001,2.2303
25.5772,1.6914,-2.7838,7.7156,0.2785
25.8462,0.946,2.2682,9.6506,2.3691
24.528,0.4726,-2.7045,12.038,4.7345
25.819,2.9752,-2.384,11.8814,2.4287
25.5979,2.1959,0.0957,9.4518,4.9209
24.3566,2.6155,-0.0699,8.2325,2.1537
25.9842,0.8763,2.8742,9.9532,3.8974
24.848,0.3108,-0.3136,11.8869,4.8508
25.1602,1.5004,1.6002,10.9778,2.2683
25.4444,1.3575,-2.3826,9.9714,3.3424
25.5945,0.2763,-0.9535,7.4538,1.8441
25.4848,1.8823,-2.4574,10.3298,1.8111
25.1221,1.1638,-0.7846,8.207,3.0603
25.2174,0.7108,-0.24,9.1096,3.2374
25.2218,2.7889,-2.3703,12.6207,4.2523
24.4296,2.2921,-2.3946,12.0488,4.4521
24.5467,0.9417,-1.9384,7.5044,3.1629
25.1356,1.0445,0.1917,11.6849,2.1484
25.5587,0.0314,-1.0191,8.7627,0.3648
24.4539,2.6399,1.1571,10.3071,2.4678
25.8863,2.6041,2.6293,9.4746,1.5762
24.7527,2.0439,-2.0749,11.7391,3.7568
25.3639,1.1453,2.1472,10.3276,1.4315
25.8541,1.709,-0.0658,8.2844,0.1402
25.9666,2.2064,-2.6943,12.7598,1.3145
25.0523,2.9958,1.8098,7.4678,1.8076
25.9245,0.8309,0.5496,9.7729,2.9555
24.672,0.044,-1.1438,11.3842,0.6221
25.5688,2.1606,1.5122,10.0145,1.5688
25.8393,0.9483,-0.5189,8.4707,2.0849
25.5493,1.1707,1.6155,12.2796,2.7675
24.2486,0.8274,-0.7576,11.2197,2.1423
25.1116,0.6013,-1.5449,11.1376,2.2258
24.8816,1.4814,-2.0327,7.5069,2.035
25.5607,1.4033,1.0284,10.7382,3.6775
24.3739,2.6004,-2.5812,7.3499,4.0392
25.8662,0.9467,-0.0408,12.6513,3.0575
24.6972,2.9146,-0.0665,10.5989,2.9292
24.0529,1.5404,0.059,9.6878,1.4469
25.5419,2.0953,2.7192,8.2147,4.3709
25.3298,1.2219,-2.8077,11.29,0.6477
24.3294,0.8215,-2.756,11.4645,0.4443
25.5994,2.6354,0.8847,7.7969,1.2688
25.7165,0.6776,-0.1439,11.5085,1.5442
25.4921,2.2477,0.6165,9.2351,4.7085
25.143,2.6084,-1.8579,12.2006,0.6008
25.2106,2.8659,-0.7184,8.1575,2.2118
24.4336,0.654,-2.3739,11.4135,4.6941
24.7136,2.2733,-0.3062,8.6588,3.516
24.3139,2.5881,-1.215,11.855,2.0081
25.227,2.0855,0.5894,8.593,2.254
25.9245,2.0199,1.7113,12.8694,2.9928
24.6319,2.5391,1.428,9.8391,3.711
24.3407,0.8247,-1.7397,12.0405,0.9565
25.0442,1.1029,-1.3905,9.0697,0.6771
24.8885,0.4531,2.6646,11.5651,1.1386
25.3299,1.828,0.4584,11.5115,3.2138
25.3576,1.313,-1.4056,7.3424,4.111
24.5844,1.2788,-1.9623,7.7185,0.0745
24.77,0.4196,1.0471,9.6811,4.8734
24.1229,0.9064,0.7696,7.0529,0.3993
24.9537,0.4106,-2.3202,10.9536,4.1192
25.1559,1.4165,-2.6,12.9951,1.0909
24.4475,2.691,-0.5594,12.4338,0.0064
25.5481,1.8607,0.9215,8.0569,0.1356
25.1902,1.7586,-2.8869,10.9755,2.7913
25.0524,2.9887,1.7573,11.6683,2.8446
25.6009,1.3006,-0.0616,8.3392,0.872
24.5757,1.7077,2.9377,9.1053,3.2923
24.2783,0.5094,0.729,8.2843,1.2039
25.6311,2.2497,1.3271,7.073,1.3989
24.4059,2.3448,-2.797,10.1292,3.0611
24.3327,1.5431,-0.0591,12.1556,4.6312
24.4346,0.7096,-1.7037,7.9262,2.9875
25.8272,0.3797,-1.074,11.2904,1.928
24.2091,2.8237,1.9454,9.3235,2.6083
24.2674,1.2558,1.4356,10.8357,3.9382
24.6105,1.3794,1.6456,11.7706,1.691
24.2904,2.5865,-2.02,8.9692,4.6846
24.1412,0.6403,-0.7334,7.8105,2.9334
25.0978,1.0778,-0.8504,8.8005,1.1244
25.3595,1.9466,1.7519,9.6762,4.7743
24.9016,2.8475,-1.8313,8.8807,1.1378
24.1156,0.5284,-2.4048,7.5503,3.3843
24.7739,2.8634,2.059,11.1341,4.852
25.4261,0.5322,0.37,11.3855,0.2486
25.1321,0.8181,-1.2395,7.9297,3.9061
24.0641,0.1932,-0.6745,7.3806,1.7711
25.5317,2.7505,-2.4849,9.604,1.2244
24.6158,2.6652,-0.6789,12.8805,1.5463
25.9557,1.9659,-1.8492,10.0493,3.8075
25.5079,0.6716,1.1343,7.1157,4.1106
24.2086,1.6949,-2.1529,7.24,0.8832
25.7967,1.1385,-0.3358,12.8834,0.6397
25.4916,2.9512,-1.9631,9.4889,1.2691
24.569,0.8308,-0.046,11.1143,3.1666
24.7632,0.4476,-2.7025,9.4541,2.3407
24.384,0.8675,1.6127,11.8314,3.5286
25.0108,1.4197,-2.0452,12.4474,1.2802
24.4573,1.5162,-1.285,7.4397,2.7186
24.0995,0.2272,2.7082,10.5709,1.6556
24.1546,1.5761,1.8467,9.6961,3.0224
25.1255,0.5839,1.5103,9.1933,1.7189
25.5563,1.8473,0.3802,11.0678,0.1137
25.445,1.3661,-0.9419,12.2709,1.5132
24.8893,1.2324,-2.1082,12.1424,2.3401
24.282,0.7078,0.9116,9.7431,0.2603
25.9863,1.1337,1.7491,11.6701,4.299
25.2833,1.2102,-1.7503,9.6632,2.4319
24.6647,2.2589,1.2743,10.7014,1.9361
25.2595,1.8222,-0.3998,7.3625,0.8546
25.2607,0.6388,-1.545,8.2506,4.1249
25.3232,1.68,2.0908,7.5713,4.5397
24.7134,0.2451,2.7026,8.7453,2.8323
24.0317,1.3221,1.9922,8.4228,2.5806
24.1358,2.4046,1.826,12.3396,1.6176
24.3006,2.3891,-2.1535,12.674,3.2763
25.3374,2.2255,-2.6825,10.1604,4.1399
24.9489,1.9721,0.4374,8.7447,2.5824
24.927,0.6311,-0.3116,12.972,4.9002
24.9163,0.9105,1.8794,8.9538,0.637
24.7599,2.662,-1.9771,7.6164,2.0728
25.9262,2.2032,2.5863,12.3197,0.8944
25.5184,0.8513,1.376,11.0291,3.262
25.0852,1.8127,-2.6735,12.0574,0.2071
25.8868,1.3362,-0.8163,8.8565,1.6974
25.0322,1.1866,-2.0367,7.761,3.2236
25.1892,2.6176,2.9659,9.8588,1.0928
24.3269,0.9089,-0.0721,12.2462,3.1749
25.3622,1.1161,-0.8294,7.8117,0.1468
24.6688,0.8611,-1.5286,11.9531,3.0609
24.4185,2.9332,-0.1455,10.4267,2.1037
25.713,1.6178,-2.1136,9.1968,4.3864
25.8421,2.8099,-1.2851,11.6572,1.2778
25.9635,1.3938,1.5776,11.183,2.3908
24.2305,1.2163,0.4274,11.3576,0.3134
24.0694,1.1706,-1.8564,7.5925,0.9882
25.3956,0.5973,1.3958,8.214,4.9876
25.1643,0.3309,0.4258,11.1756,1.3312
25.7972,2.2535,0.1015,7.9578,0.8849
24.8333,0.02,-1.0206,12.0506,0.0335
25.8662,2.9272,-0.1361,7.9448,1.1323
24.2358,2.648,2.3399,8.3034,1.8897
24.59,2.803,0.7686,12.2577,1.0771
24.7468,0.2005,-1.9098,8.3169,0.2602
25.6608,2.5779,1.1821,7.5696,1.0714
25.5193,0.6175,-1.6437,10.8234,3.0212
25.8556,1.6414,0.6713,7.9375,1.4284
25.4803,2.7099,-0.5677,7.7829,1.8234
24.0816,0.5319,2.3626,10.6468,4.2279
24.2119,0.772,2.1831,9.2855,0.3434
24.4479,1.7518,-0.5678,10.3165,4.5314
25.229,2.6643,-1.8237,9.1655,4.2594
24.6748,0.0755,-2.4892,10.8426,2.7799
24.4123,1.3271,0.0348,7.962,0.2747
24.1678,2.2487,-0.4249,10.9308,2.7938
24.1903,2.4849,1.1504,10.1696,3.5995
24.2447,0.7222,0.3239,11.9576,0.6465
24.0956,1.9601,-0.4082,10.2946,1.0478
25.2795,1.6334,-1.3842,10.2257,0.6939
25.4822,2.6102,2.9194,7.7773,1.472
24.1698,1.785,-0.492,9.5566,3.1839
24.0566,0.7934,2.5505,10.2998,2.3343
24.5439,0.2617,-1.5452,7.3121,3.7318
24.3113,1.7324,-0.741,9.1571,3.193
24.8026,2.5077,-0.6936,12.0147,4.8606
24.7167,2.8578,2.893,8.7374,2.5596
25.5882,1.5905,0.9898,11.7149,0.2277
25.1545,1.3064,1.5932,9.665,3.6654
25.9498,1.238,0.5942,7.2375,4.4724
24.0445,0.2734,1.7714,7.4154,0.6789
25.5206,2.4311,2.2666,11.8522,1.5453
24.8548,2.1318,-1.7719,10.4526,0.1599
24.7567,0.3372,0.3783,9.0331,1.3113
24.9964,2.5172,1.9021,9.1229,3.4738
24.2432,0.3568,-0.1465,10.5974,3.3171
24.2584,2.8381,0.8263,12.0677,1.3446
25.8502,1.3194,2.6873,12.1107,3.5809
25.0599,1.0467,-2.7443,9.7271,2.6814
24.7261,1.5184,-1.6142,8.0087,0.0791
24.9288,0.6726,0.4024,10.0694,3.4259
25.3562,1.9839,-2.7149,8.9301,2.2612
25.7474,0.5813,-2.7672,9.5943,4.9769
24.0402,1.295,-2.859,12.0579,1.308
24.8205,2.7063,-1.3704,11.6381,2.998
24.7033,1.9433,2.9126,12.2331,3.212
24.7981,2.8015,-1.2904,8.9336,0.7734
24.7554,1.2257,-0.0535,9.6208,3.3406
25.9603,0.8005,-0.5202,8.5898,1.8548
24.4684,1.3365,1.3844,12.8976,3.8567
25.8551,1.1942,-0.372,11.3812,3.0357
25.982,1.3048,-1.0433,7.0627,0.9728
24.0841,2.3955,-2.494,8.3227,4.4768
24.7674,1.0625,-1.5794,9.258,2.3384
25.3074,1.3291,0.4431,7.7803,1.3769
25.6323,0.0098,-1.715,10.4502,2.8532
25.3498,0.7301,2.0859,7.8242,2.4868
25.0923,1.7406,-2.6838,8.3393,1.0389
25.7692,1.4473,1.5976,9.9752,1.9256
24.3177,0.5873,-1.4632,11.2101,3.2442
24.1343,0.0506,1.9759,8.4725,3.1566
25.1032,2.6139,-0.677,11.0669,0.8323
25.2568,1.4994,-2.0593,11.0948,1.492
24.4792,0.1844,2.9257,8.8833,1.2599
25.8997,1.8404,1.1327,7.1405,1.8604
24.9004,1.0971,-0.8626,7.153,2.4917
25.8574,0.2681,-1.1371,7.3628,4.8494
25.5048,2.511,0.2636,9.2117,1.6462
24.97,1.5846,-1.295,10.9942,0.9941
25.1968,2.3611,-0.8805,10.5989,0.4025
25.6343,0.5025,-0.2677,11.9809,2.96
24.0956,0.6819,0.5726,7.2883,1.2733
24.204,2.6419,-1.0406,12.4888,4.649
24.4629,1.6476,2.499,9.3183,4.9149
25.1001,1.0854,-1.7465,12.4542,3.0688
25.0626,2.2508,0.2445,8.5271,0.4209
24.897,0.9382,-0.857,12.4451,1.631
25.8406,0.2713,1.2358,8.7624,1.7577
24.3609,1.4124,2.9513,12.9977,0.7263
24.4785,2.3425,1.7467,10.5271,2.7023
24.4361,1.8292,-2.4615,9.5247,1.7262
25.9624,0.8004,2.2502,8.5182,4.5989
24.3021,1.494,-1.3165,10.8358,4.1038
25.6147,1.9135,-2.8908,9.2432,3.8071
25.3426,0.3115,2.0398,12.3184,1.2213
25.4707,0.7707,-2.8262,8.2679,3.4724
25.1925,2.7863,-2.1719,7.8173,0.0325
24.2265,0.2525,1.7246,8.2718,0.4861
24.7503,2.9035,2.7632,12.8426,1.7867
24.9754,1.995,0.0233,12.3241,4.3243
24.9287,0.1064,-2.044,7.0508,1.6838
24.3582,0.3017,1.7047,9.2778,0.0432
24.3614,0.6412,-2.8471,12.042,0.2259
24.0406,0.3134,-0.4217,9.4153,0.0931
25.4792,2.5633,-2.7512,9.8687,3.1064
24.4802,0.614,1.9631,12.7149,2.325
24.3596,2.9304,2.2817,10.5381,3.5238
24.724,0.1227,-0.4322,12.3494,2.3539
25.3253,2.8787,2.2652,10.5239,3.3167
24.3356,1.3299,2.4659,9.1015,0.7322
25.1831,1.4776,-2.2818,9.9519,3.6675
24.1854,2.6303,0.4475,8.4021,4.5239
25.3625,1.5842,-0.6765,12.8335,0.3498
24.5097,2.6182,-0.0551,7.3717,2.2493
24.6691,2.9417,0.5498,10.0662,0.7779
25.3687,2.3997,-1.9503,8.7004,3.2679
25.7374,2.9524,-0.8609,8.0964,2.3184
24.6844,1.3018,0.5768,8.9196,1.9556
25.7156,2.1269,-1.2802,8.7661,2.4162
24.7268,0.4799,-1.3762,9.0661,0.7602
24.0841,2.2149,-0.6055,9.307,3.522
25.9509,2.1242,-0.3478,9.8159,1.8112
25.0958,1.1738,-2.4486,9.973,1.8402
25.7726,0.8467,0.6441,12.8328,2.7017
24.0982,1.8885,2.2998,9.8951,3.0386
25.3704,1.3449,2.3983,11.8221,4.7351
24.0889,0.6916,-0.1549,12.1954,4.6501
24.0868,0.1772,-1.8311,7.3718,0.9605
25.7572,0.4224,2.7907,9.5043,4.9538
25.3347,2.8748,-1.2509,7.2952,3.2827
24.4057,1.1022,0.4824,12.0849,2.8386
24.1684,2.6059,0.4191,12.2223,2.5994
24.8399,0.3388,2.9869,12.5345,2.0148
25.1323,1.7869,2.9059,10.5264,1.9618
24.6579,1.2145,2.4354,8.4898,1.2916
24.4558,2.9132,-0.9305,8.9464,2.7535
24.2076,2.5382,1.3501,8.23,4.5748
25.9421,1.8937,2.3315,7.1846,2.2404
24.2033,0.9623,2.1583,8.5169,3.9364
25.5537,2.6339,0.7806,7.7801,1.0354
24.4693,1.3669,2.0901,7.5267,1.0066
24.7944,0.2535,-0.4456,8.752,3.4184
25.006,1.9522,-1.3069,8.3137,4.7315
24.1721,2.5242,0.9118,9.419,3.9311
24.5374,2.8374,0.837,9.2616,2.8954
25.8021,0.3248,0.7642,7.1182,2.9526
25.7044,0.3111,-1.6563,9.8932,4.5185
25.4217,1.133,0.1875,7.9737,3.7483
24.7909,2.6481,2.6741,8.0953,4.7266
25.0251,2.9409,-0.6789,12.4257,3.7341
25.9546,1.0245,2.4315,12.4594,0.3053
24.3756,1.452,-1.8024,7.3438,0.9415
24.3682,0.7174,2.7953,8.2526,0.8355
24.1816,2.4652,2.7447,11.5901,3.2568
24.0921,0.501,-2.7974,12.5963,4.4529
25.8395,2.1019,1.6827,8.8976,4.4962
25.2529,2.7945,-0.7634,11.9654,3.4663
25.0035,1.3035,-0.27,7.5105,1.959
25.6698,1.3692,-2.8464,11.9216,0.0977
25.2151,1.5247,-2.661,11.9567,0.3541
24.3622,0.0891,2.1744,8.8135,4.1052
24.486,1.7365,1.6237,11.7416,2.1153
25.4951,2.4453,-1.5811,10.0507,3.58
25.2812,0.5619,1.3953,7.961,1.794
24.9698,0.0292,0.1711,9.9468,1.073
24.2123,0.6649,0.2302,8.3943,2.105
24.3091,2.4749,-0.2263,9.9364,0.3274
25.1697,2.499,0.4635,9.8279,1.2646
25.7773,2.172,-2.9641,12.0068,0.0694
25.1199,2.4673,2.352,12.2243,0.6821
24.192,0.9124,2.5675,7.1114,2.0485
25.9848,2.3582,0.9682,7.6163,0.6028
25.0967,1.0388,2.1607,8.2141,0.9196
24.7581,1.121,-2.2943,10.6798,3.226
25.4819,2.8506,-2.4813,12.7006,0.3384
25.6926,0.5619,-0.3878,10.0209,4.9346
25.4161,2.481,2.9937,7.2794,4.2919
25.64,1.1747,-0.787,10.5307,0.4046
25.123,0.3215,0.5463,10.3706,3.0997
25.4674,2.456,1.8569,11.5805,2.4049
24.7657,0.671,-1.4324,7.9676,2.8347
25.5252,1.9432,2.0286,12.6738,1.8522
24.4434,2.3578,2.7151,7.5365,4.1265
25.0081,0.7838,1.3807,10.9298,0.3682
24.2628,2.7577,-1.7062,11.4121,3.2962
24.9729,2.8113,2.3958,7.5853,3.1165
25.6855,2.5554,0.8001,8.8663,1.3482
25.7602,2.0069,2.4969,9.5177,2.5584
25.411,2.9394,1.6341,12.9251,1.2772
25.3531,0.3108,0.2789,12.8327,2.6266
24.765,0.3856,0.4202,11.4257,1.3448
24.0364,1.8398,-1.5968,11.2642,0.7692
24.2038,2.5748,-2.403,11.3055,2.1542
